,lead_time,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,previous_cancellations,previous_bookings_not_canceled,booking_changes,days_in_waiting_list,adr,required_car_parking_spaces,total_of_special_requests,hotel_Resort Hotel,meal,country,market_segment,reserved_room_type,assigned_room_type,deposit_type,customer_type
109831,140,17,28,2,2,2,0,0,0,0,2,0,130.0,0,2,0,BB,FRA,Offline TA/TO,A,A,No Deposit,Transient-Party
85424,0,13,22,0,3,1,0,0,0,0,0,0,111.33,0,1,0,SC,ITA,Online TA,A,A,No Deposit,Transient
68218,25,20,20,2,1,2,0,0,0,0,0,0,90.0,0,0,0,BB,PRT,Groups,A,A,No Deposit,Transient-Party
22602,0,16,13,0,2,1,0,0,0,0,0,0,95.0,0,0,1,BB,DEU,Direct,F,F,No Deposit,Transient
55952,80,37,7,0,1,3,0,0,0,0,0,0,168.3,0,0,0,BB,DEU,Online TA,D,D,No Deposit,Transient
97327,159,39,19,1,2,2,0,0,0,0,0,0,144.0,0,0,0,BB,BRA,Offline TA/TO,A,A,No Deposit,Transient-Party
91518,117,27,26,2,2,2,0,0,0,0,0,0,83.83,0,1,0,BB,PRT,Online TA,B,B,No Deposit,Transient-Party
15479,156,32,2,2,5,2,0,0,0,0,0,0,112.63,0,0,1,BB,GBR,Offline TA/TO,E,E,No Deposit,Transient
10062,238,6,10,0,2,2,0,0,0,0,0,0,54.0,0,0,1,HB,PRT,Groups,A,A,Non Refund,Transient
29131,21,44,29,2,1,2,0,0,0,0,0,0,135.0,0,1,1,HB,ESP,Online TA,E,E,No Deposit,Transient
59653,277,46,7,1,2,2,0,0,0,0,0,0,100.0,0,0,0,BB,PRT,Groups,A,A,Non Refund,Transient
11341,210,18,4,2,5,1,0,0,0,0,0,0,50.4,0,1,1,HB,PRT,Offline TA/TO,A,A,No Deposit,Transient
12530,347,27,3,3,7,3,1,0,0,0,0,0,184.0,0,0,1,BB,NOR,Online TA,H,H,No Deposit,Transient
97045,18,38,15,0,3,2,0,0,0,0,0,0,174.0,0,2,0,BB,ITA,Online TA,D,D,No Deposit,Transient
89476,98,23,30,1,1,2,0,0,0,0,1,0,89.75,1,0,0,BB,NLD,Offline TA/TO,A,A,No Deposit,Transient
26676,3,34,18,0,3,2,0,1,0,0,0,0,170.7,1,1,1,BB,ESP,Direct,A,A,No Deposit,Transient
109121,147,15,13,1,3,2,0,0,0,0,0,0,105.68,0,1,0,BB,DEU,Online TA,D,D,No Deposit,Transient
11108,278,16,21,2,2,2,0,0,0,0,0,0,81.0,0,0,1,BB,FIN,Online TA,E,E,No Deposit,Transient
8329,22,39,22,2,3,2,0,0,0,0,0,0,146.2,0,1,1,BB,IRL,Online TA,E,E,No Deposit,Transient
49237,108,17,18,1,4,2,0,0,0,0,0,0,82.4,0,0,0,BB,IRL,Online TA,A,A,No Deposit,Transient
52601,256,25,15,0,2,2,0,0,0,0,0,0,109.0,0,0,0,HB,PRT,Offline TA/TO,A,A,No Deposit,Transient-Party
51428,316,22,26,0,3,2,0,0,0,0,0,0,110.0,0,0,0,BB,AUT,Groups,A,A,No Deposit,Transient-Party
4104,38,7,13,0,1,2,0,0,0,0,0,0,58.0,0,0,1,BB,PRT,Online TA,A,A,No Deposit,Transient
85216,49,12,18,1,2,2,0,0,0,0,0,0,63.58,0,0,0,BB,GBR,Offline TA/TO,A,A,No Deposit,Transient
30465,0,3,15,1,0,2,0,0,0,1,0,0,41.0,0,0,1,BB,PRT,Direct,A,A,No Deposit,Transient
19112,13,52,23,0,4,1,0,0,0,0,1,0,73.75,0,1,1,BB,FRA,Online TA,E,E,No Deposit,Transient
110329,210,18,1,1,3,2,0,0,0,0,0,0,117.0,0,2,0,BB,DEU,Online TA,A,A,No Deposit,Transient
110389,0,18,3,0,2,1,0,0,0,0,0,0,150.0,0,2,0,SC,PRT,Online TA,A,A,No Deposit,Transient
106643,27,10,7,0,3,2,0,0,0,0,0,0,118.0,0,1,0,BB,GBR,Online TA,D,D,No Deposit,Transient
30791,1,52,20,0,1,1,0,0,0,0,0,0,30.0,1,0,1,BB,PRT,Corporate,A,D,No Deposit,Transient
111458,395,20,17,0,3,2,0,0,0,0,0,0,112.67,0,1,0,BB,DEU,Offline TA/TO,A,A,No Deposit,Transient-Party
57781,76,42,10,1,0,1,0,0,0,0,0,0,120.0,0,0,0,BB,PRT,Offline TA/TO,A,A,No Deposit,Transient-Party
8954,178,43,22,2,2,3,1,0,0,0,0,0,110.75,0,0,1,BB,SWE,Online TA,G,G,No Deposit,Transient
31857,6,3,20,1,2,2,0,0,0,0,0,0,34.0,0,1,1,BB,GBR,Offline TA/TO,A,A,No Deposit,Transient
111470,37,20,17,0,3,2,0,0,0,0,0,0,218.0,0,3,0,HB,FRA,Online TA,A,A,No Deposit,Transient
68975,174,22,1,0,2,2,0,0,0,0,0,0,100.0,0,0,0,BB,PRT,Groups,A,A,Non Refund,Transient
74914,327,37,9,0,2,2,0,0,1,0,0,0,62.0,0,0,0,BB,PRT,Groups,A,A,Non Refund,Transient-Party
16935,0,41,5,1,3,2,0,0,0,0,0,0,109.0,0,0,1,FB,PRT,Corporate,A,H,No Deposit,Transient-Party
42863,74,38,18,0,2,2,0,0,0,0,0,0,109.0,0,0,0,HB,PRT,Offline TA/TO,A,G,No Deposit,Transient-Party
96246,1,36,2,2,5,1,0,0,0,0,0,0,110.0,0,0,0,BB,USA,Aviation,A,A,No Deposit,Transient
93877,1,32,3,0,1,2,0,0,0,0,0,0,166.0,0,3,0,BB,FRA,Online TA,D,B,No Deposit,Transient
11547,310,20,17,2,5,2,0,0,0,0,0,0,54.0,0,0,1,BB,GBR,Online TA,A,A,No Deposit,Transient
111789,18,21,22,1,1,2,0,0,0,0,0,0,120.0,0,1,0,BB,PRT,Groups,A,A,No Deposit,Transient-Party
41798,4,36,4,0,2,2,0,0,0,0,0,0,124.0,1,1,0,BB,GBR,Online TA,A,A,No Deposit,Contract
31724,40,3,16,1,2,1,0,0,0,0,1,0,55.0,0,0,1,Undefined,PRT,Groups,A,E,No Deposit,Transient-Party
95509,8,35,22,1,5,2,0,0,0,0,0,0,99.46,0,1,0,BB,USA,Online TA,D,D,No Deposit,Transient
116917,148,30,29,2,6,2,0,0,0,0,0,0,139.5,0,1,0,BB,FRA,Online TA,D,D,No Deposit,Transient
70033,120,25,18,2,2,2,0,0,0,0,0,0,109.71,0,1,0,BB,FRA,Online TA,A,A,No Deposit,Transient
53339,20,27,1,0,1,2,1,0,0,0,0,0,169.0,0,1,0,BB,OTHER,Online TA,A,F,No Deposit,Transient
42312,44,37,10,0,2,2,0,0,0,0,0,0,126.0,0,0,0,HB,PRT,Groups,A,A,Non Refund,Transient
63286,42,8,21,2,5,3,0,0,0,0,0,0,145.96,0,1,0,HB,GBR,Online TA,E,E,No Deposit,Transient
95375,142,35,21,2,3,0,2,0,0,0,0,0,95.79,0,1,0,BB,IRL,Online TA,B,B,No Deposit,Transient
16350,117,37,6,2,5,2,0,0,0,0,0,0,91.5,0,0,1,HB,PRT,Offline TA/TO,A,A,No Deposit,Transient
42834,72,38,18,0,1,1,0,0,0,0,1,0,84.0,0,0,0,HB,PRT,Offline TA/TO,A,D,No Deposit,Transient-Party
32380,14,6,7,0,1,1,0,0,0,0,0,0,35.0,0,0,1,BB,PRT,Offline TA/TO,A,A,No Deposit,Transient
43862,61,41,4,2,0,2,0,0,0,0,0,0,91.0,0,0,0,BB,FRA,Offline TA/TO,A,A,No Deposit,Transient-Party
91160,265,26,24,0,2,2,0,0,0,0,0,0,112.0,0,1,0,HB,DEU,Offline TA/TO,A,A,No Deposit,Transient-Party
97060,25,38,16,1,2,2,0,0,0,0,0,0,155.67,0,4,0,BB,CHE,Online TA,A,A,No Deposit,Transient
89082,96,22,23,1,0,2,0,0,0,0,0,0,116.1,0,1,0,SC,GBR,Online TA,A,A,No Deposit,Transient-Party
6848,324,28,7,2,3,2,0,0,0,0,0,0,108.0,0,2,1,HB,PRT,Online TA,A,A,No Deposit,Transient
25996,27,31,29,1,2,2,0,1,0,0,1,0,165.04,0,2,1,HB,ESP,Online TA,A,B,No Deposit,Transient
76010,199,39,21,1,1,2,0,0,1,0,0,0,48.0,0,0,0,BB,PRT,Offline TA/TO,A,A,No Deposit,Transient
57032,14,40,26,3,10,2,0,0,0,0,0,0,191.31,0,0,0,BB,AGO,Direct,E,E,No Deposit,Transient
23101,101,17,23,2,4,2,0,0,0,0,0,0,64.67,0,0,1,BB,GBR,Offline TA/TO,E,E,No Deposit,Transient
96436,154,37,8,0,3,2,0,0,0,0,0,0,126.9,0,3,0,BB,FRA,Online TA,A,A,No Deposit,Transient
32184,0,5,31,0,1,1,0,0,0,0,0,0,35.0,0,0,1,BB,PRT,Corporate,A,D,No Deposit,Transient
99871,88,43,22,2,4,2,0,0,0,0,0,0,106.25,0,0,0,HB,FRA,Offline TA/TO,A,A,No Deposit,Transient
111083,80,19,11,1,3,2,0,0,0,0,0,0,121.5,0,1,0,SC,ESP,Online TA,A,A,No Deposit,Transient
93392,116,31,28,0,1,3,0,0,0,0,1,0,137.7,0,1,0,BB,NLD,Online TA,D,E,No Deposit,Transient
109497,3,16,22,0,1,2,2,0,0,0,0,0,336.0,1,1,0,HB,ESP,Online TA,F,F,No Deposit,Transient
62391,13,4,24,8,22,1,0,0,0,0,1,0,73.89,0,1,0,SC,AGO,Online TA,A,A,No Deposit,Transient
59938,300,46,11,0,2,2,0,0,0,0,0,0,65.0,0,0,0,BB,PRT,Groups,A,A,Non Refund,Transient
103769,4,2,10,0,2,1,0,0,0,0,0,0,70.0,0,0,0,BB,ESP,Groups,A,A,No Deposit,Transient-Party
89337,3,22,28,0,1,1,0,0,0,0,0,0,155.0,0,1,0,BB,PRT,Online TA,A,A,No Deposit,Transient
9551,58,50,10,2,3,2,0,0,0,0,1,0,68.0,0,1,1,BB,GBR,Online TA,D,D,No Deposit,Transient
74742,299,33,12,0,2,2,0,0,1,0,0,0,62.0,0,0,0,BB,PRT,Groups,A,A,Non Refund,Transient-Party
43225,34,39,23,0,3,2,0,0,0,0,0,33,224.67,0,0,0,HB,ESP,Offline TA/TO,A,A,No Deposit,Transient-Party
80052,1,47,19,0,1,1,0,0,0,0,0,0,65.0,0,0,0,BB,PRT,Corporate,A,A,No Deposit,Transient
54782,405,33,10,0,2,2,0,0,0,0,0,0,65.0,0,0,0,BB,PRT,Groups,A,A,Non Refund,Transient
34413,9,14,7,0,1,2,0,0,0,0,0,0,115.0,0,2,1,BB,PRT,Online TA,E,E,No Deposit,Transient
6613,293,26,21,0,5,2,0,0,0,0,0,0,72.0,0,0,1,BB,ESP,Online TA,A,A,No Deposit,Transient
64363,68,12,19,2,1,1,0,0,0,0,0,0,110.7,0,0,0,BB,AGO,Online TA,D,D,No Deposit,Transient
100716,24,46,7,1,2,1,0,0,0,0,0,0,153.23,0,1,0,BB,NOR,Online TA,A,A,No Deposit,Transient
106218,33,9,1,0,3,2,0,0,0,0,0,0,80.0,0,0,0,BB,DEU,Offline TA/TO,A,A,No Deposit,Transient
21459,1,11,12,0,1,2,0,1,0,0,1,0,58.0,0,1,1,BB,PRT,Online TA,A,D,No Deposit,Transient
104575,1,26,28,0,1,1,0,0,0,1,0,0,95.0,0,0,0,BB,PRT,Corporate,A,A,No Deposit,Transient
71076,349,27,8,4,6,2,2,0,0,0,0,0,180.9,0,1,0,BB,FRA,Online TA,F,F,No Deposit,Transient
118079,108,34,20,2,3,1,0,0,0,0,0,0,112.5,0,0,0,BB,PRT,Direct,A,A,No Deposit,Transient
91029,54,26,20,1,3,2,0,0,0,0,0,0,113.4,0,1,0,BB,ITA,Online TA,D,D,No Deposit,Transient
14999,188,28,11,2,5,2,0,0,0,0,0,0,106.15,0,0,1,HB,GBR,Offline TA/TO,D,D,No Deposit,Contract
20658,1,51,14,0,1,1,0,0,0,3,1,0,30.0,0,0,1,BB,PRT,Corporate,A,D,No Deposit,Transient
77259,16,39,25,1,2,2,0,0,0,0,1,0,170.0,0,0,0,BB,ITA,Groups,A,A,No Deposit,Transient-Party
74496,268,29,12,2,1,2,0,0,1,0,0,0,82.0,0,0,0,BB,PRT,Offline TA/TO,A,A,No Deposit,Transient
71945,31,30,29,2,1,2,0,0,0,0,0,0,170.0,0,1,0,BB,ESP,Online TA,D,D,No Deposit,Transient
34247,62,13,1,1,1,2,0,0,0,0,0,0,85.0,1,0,1,BB,FRA,Online TA,E,E,No Deposit,Transient
62664,56,5,1,0,3,2,0,0,0,0,0,0,60.0,0,0,0,BB,PRT,Groups,A,A,Non Refund,Transient
111948,208,21,24,0,2,1,0,0,0,0,1,0,91.5,0,0,0,HB,DEU,Groups,A,A,No Deposit,Transient-Party
61464,224,53,29,2,3,2,0,0,0,0,0,0,82.11,0,0,0,BB,AUS,Online TA,A,A,No Deposit,Transient
34791,0,16,16,1,0,2,2,0,0,0,0,0,131.0,0,0,1,BB,PRT,Direct,C,C,No Deposit,Transient
97434,89,39,20,0,3,3,0,0,0,0,0,0,168.3,0,1,0,BB,FRA,Online TA,D,D,No Deposit,Transient
113319,67,24,12,1,2,2,0,0,0,0,0,0,95.76,0,1,0,SC,NLD,Online TA,A,A,No Deposit,Transient
104165,2,3,19,0,3,2,0,0,0,0,0,0,86.0,1,3,0,BB,ESP,Direct,A,A,No Deposit,Transient
30290,10,49,3,0,1,1,0,0,0,0,0,0,44.0,0,0,1,HB,PRT,Groups,A,A,No Deposit,Transient-Party
22343,22,15,3,2,2,1,0,0,0,0,0,0,75.75,0,0,1,BB,NLD,Online TA,D,D,No Deposit,Transient-Party
52087,56,24,8,0,2,2,0,0,0,0,0,0,113.4,0,0,0,BB,ISR,Online TA,A,A,No Deposit,Transient
14089,51,4,25,0,2,1,0,0,0,5,0,0,29.6,0,0,1,BB,PRT,Online TA,A,A,No Deposit,Group
87511,41,18,28,0,3,2,0,0,0,0,1,0,120.0,0,1,0,BB,GBR,Online TA,A,A,No Deposit,Transient
61000,28,51,15,1,3,3,0,0,0,0,0,0,130.9,0,2,0,BB,FRA,Online TA,D,D,No Deposit,Transient
57793,68,42,10,1,2,2,0,0,0,0,2,0,132.3,0,3,0,BB,IRL,Online TA,D,D,No Deposit,Transient
79724,45,16,10,1,0,1,0,0,1,6,0,0,65.0,0,0,0,BB,PRT,Corporate,A,A,No Deposit,Transient-Party
70770,111,26,1,2,2,2,0,0,0,0,0,0,135.0,0,0,0,BB,OTHER,Online TA,D,D,No Deposit,Transient
109290,129,15,12,2,5,2,0,0,0,0,0,0,134.36,0,0,0,BB,DEU,Online TA,D,D,No Deposit,Transient-Party
39914,132,30,23,1,3,2,0,0,0,0,0,0,85.0,0,0,0,HB,PRT,Groups,A,A,No Deposit,Transient-Party
3081,10,47,15,2,0,2,0,0,0,0,0,0,58.0,0,1,1,BB,GBR,Online TA,D,D,No Deposit,Transient
5693,7,20,11,0,1,1,0,0,0,0,1,0,70.0,0,0,1,BB,PRT,Direct,A,A,No Deposit,Transient-Party
91463,0,27,28,0,1,1,0,0,0,0,0,0,149.0,0,1,0,BB,PRT,Online TA,A,A,No Deposit,Transient
104625,1,5,2,0,1,1,0,0,0,0,0,0,77.0,0,0,0,BB,PRT,Direct,A,A,No Deposit,Transient
90780,38,25,18,1,1,3,0,0,0,0,1,0,122.4,0,0,0,BB,PRT,Offline TA/TO,D,A,No Deposit,Transient
34130,68,13,26,2,3,1,0,0,0,0,0,0,79.2,0,0,1,BB,GBR,Direct,F,F,No Deposit,Transient
118415,269,34,22,2,5,2,0,0,0,0,0,0,99.0,0,2,0,SC,DEU,Online TA,A,A,No Deposit,Transient
83892,3,9,22,1,3,1,0,0,0,0,0,0,84.5,0,0,0,BB,NLD,Direct,A,A,No Deposit,Transient
77762,26,27,28,0,2,1,0,0,1,9,0,0,65.0,0,1,0,BB,PRT,Corporate,A,A,No Deposit,Transient
30343,8,49,1,0,3,2,0,0,0,0,0,0,53.67,0,1,1,BB,ESP,Online TA,A,D,No Deposit,Transient
33820,26,11,14,0,5,2,0,0,0,0,0,0,105.0,0,1,1,HB,DEU,Direct,E,G,No Deposit,Transient-Party
73601,335,38,17,0,2,2,0,0,1,0,0,0,62.0,0,0,0,BB,PRT,Groups,A,A,Non Refund,Contract
104655,14,5,2,0,2,1,0,0,0,0,2,0,80.0,0,0,0,BB,PRT,Groups,A,D,No Deposit,Transient-Party
71275,229,28,12,1,4,2,0,0,0,0,0,0,110.0,0,0,0,BB,PRT,Groups,A,A,Non Refund,Transient
117481,1,32,12,2,1,2,0,0,0,0,0,0,126.19,0,0,0,SC,PRT,Online TA,D,D,No Deposit,Transient
97107,7,38,16,1,2,2,0,0,0,0,0,0,191.73,0,2,0,BB,DEU,Online TA,F,F,No Deposit,Transient
28851,124,43,22,2,2,2,0,0,0,0,2,0,75.0,1,0,1,BB,SWE,Groups,E,E,No Deposit,Transient-Party
90627,139,25,15,0,3,2,0,0,0,0,0,0,116.1,0,2,0,SC,PRT,Online TA,A,A,No Deposit,Transient
100576,199,45,4,1,2,2,0,0,0,0,0,0,68.0,0,1,0,BB,GBR,Offline TA/TO,A,A,No Deposit,Transient
111240,5,19,13,2,2,1,0,0,0,0,0,0,110.0,0,0,0,BB,DEU,Groups,A,A,No Deposit,Transient-Party
28556,47,43,18,0,1,2,0,0,0,0,0,0,72.0,0,0,1,HB,RUS,Groups,A,A,No Deposit,Transient-Party
84428,46,10,4,1,2,2,0,0,0,0,0,0,98.3,1,1,0,BB,GBR,Online TA,D,D,No Deposit,Transient
85877,50,14,31,0,3,2,0,0,0,0,0,0,65.0,0,0,0,BB,ISR,Groups,A,A,No Deposit,Transient-Party
83195,57,7,7,2,2,2,0,0,0,0,0,0,65.0,0,1,0,BB,BEL,Direct,B,B,No Deposit,Transient
53470,60,28,4,1,1,1,1,0,0,0,0,0,132.7,0,0,0,BB,PRT,Online TA,A,A,No Deposit,Transient
74377,326,37,8,0,1,2,0,0,1,0,0,0,60.0,0,0,0,BB,PRT,Groups,A,A,Non Refund,Transient
26975,13,36,29,0,0,1,0,0,0,0,0,0,0.0,0,1,1,BB,ITA,Online TA,A,I,No Deposit,Transient-Party
64783,80,13,31,0,2,2,0,0,0,0,0,0,90.0,0,0,0,BB,PRT,Offline TA/TO,A,A,Non Refund,Transient
89024,47,21,21,1,1,2,0,0,0,0,0,0,140.4,0,1,0,BB,NOR,Online TA,D,D,No Deposit,Transient
77641,224,40,2,1,2,1,0,0,0,0,4,0,60.0,0,0,0,BB,PRT,Offline TA/TO,A,A,No Deposit,Transient-Party
60446,17,49,27,2,3,2,0,0,0,0,0,0,83.2,0,0,0,BB,PRT,Online TA,A,A,No Deposit,Transient
115707,147,29,16,2,1,2,2,0,0,0,0,0,209.0,0,0,0,BB,USA,Online TA,F,F,No Deposit,Transient
64921,73,14,3,1,3,2,0,0,0,0,0,0,105.0,0,0,0,BB,PRT,Groups,A,A,Non Refund,Transient
2030,80,40,28,1,3,2,0,0,0,0,0,0,69.5,0,2,1,BB,PRT,Online TA,A,A,No Deposit,Transient
86767,94,16,15,1,2,2,0,0,0,0,0,0,81.08,0,1,0,BB,FRA,Online TA,D,D,No Deposit,Transient
45978,0,2,3,1,0,2,0,0,0,0,0,0,99.0,0,0,0,BB,CHN,Online TA,D,D,No Deposit,Transient
54634,92,32,6,1,1,2,0,0,0,0,0,0,101.15,0,0,0,BB,PRT,Direct,A,A,No Deposit,Transient
98577,187,41,7,1,2,2,0,0,0,0,0,0,108.9,0,3,0,BB,FRA,Online TA,A,A,No Deposit,Transient
84994,56,12,15,0,3,1,0,0,0,0,0,0,56.83,0,1,0,BB,DEU,Online TA,A,A,No Deposit,Transient
55395,107,35,24,0,4,3,0,0,0,0,0,0,152.1,0,0,0,BB,ITA,Online TA,D,D,No Deposit,Transient
90284,23,25,12,1,0,3,0,0,0,0,0,0,133.95,1,0,0,BB,BRA,Online TA,D,D,No Deposit,Transient
92351,75,29,10,2,2,2,0,0,0,0,0,0,99.0,0,1,0,SC,FRA,Online TA,A,A,No Deposit,Transient
72426,112,32,10,1,3,3,0,0,0,0,0,0,125.0,0,0,0,SC,DNK,Online TA,A,A,No Deposit,Transient
35557,42,18,1,2,5,2,0,0,0,0,0,0,130.0,0,0,1,BB,IRL,Direct,F,F,No Deposit,Transient
39429,3,35,30,0,2,1,0,0,0,0,0,0,217.0,0,1,1,BB,PRT,Direct,E,F,No Deposit,Transient
82739,33,5,25,1,1,2,0,0,0,0,0,15,64.0,0,0,0,BB,BRA,Corporate,A,A,No Deposit,Transient-Party
58334,154,43,16,2,2,3,0,0,0,0,0,0,151.2,0,0,0,BB,DNK,Online TA,D,D,No Deposit,Transient
9416,232,48,26,2,1,2,0,0,0,0,0,0,30.0,0,0,1,BB,PRT,Groups,A,A,Non Refund,Transient
60305,2,48,23,0,1,1,0,0,0,0,0,0,103.0,0,0,0,BB,PRT,Online TA,A,A,No Deposit,Transient
55031,204,34,15,5,10,2,0,0,0,0,0,0,93.22,0,2,0,BB,FRA,Online TA,A,A,No Deposit,Transient
56260,32,38,13,2,5,2,0,0,0,0,0,0,137.52,0,0,0,BB,PRT,Online TA,E,E,No Deposit,Transient
91820,138,27,2,2,2,2,0,0,0,0,0,0,71.67,0,1,0,BB,USA,Online TA,A,A,No Deposit,Transient
48101,36,13,25,1,2,2,0,0,0,0,0,0,137.4,0,1,0,BB,FRA,Online TA,D,D,No Deposit,Transient
14741,253,37,12,2,5,2,0,0,1,0,0,0,58.95,0,0,1,BB,PRT,Offline TA/TO,A,A,Non Refund,Transient
26498,83,33,10,2,4,2,0,0,0,0,0,0,186.6,0,0,1,BB,FRA,Direct,D,D,No Deposit,Transient-Party
32430,8,6,8,0,1,1,0,0,0,0,1,0,68.2,1,0,1,BB,PRT,Offline TA/TO,G,G,No Deposit,Transient
44944,51,44,28,0,4,2,0,0,0,0,0,0,62.21,0,0,0,SC,FRA,Online TA,A,A,No Deposit,Transient
15072,68,30,20,1,3,2,0,0,0,0,0,0,135.0,0,2,1,BB,NLD,Online TA,D,D,No Deposit,Transient
25539,65,30,18,1,5,2,0,0,0,0,2,0,217.67,1,2,1,BB,PRT,Online TA,E,E,No Deposit,Transient
40350,124,32,8,2,1,2,0,0,0,0,0,0,94.5,0,0,0,HB,ITA,Offline TA/TO,A,A,No Deposit,Transient-Party
46957,50,9,22,2,5,2,0,0,0,0,0,0,12.0,0,0,0,BB,PRT,Offline TA/TO,E,E,No Deposit,Transient
49858,11,18,29,1,2,2,0,0,0,0,0,0,122.33,0,0,0,SC,ESP,Online TA,A,A,No Deposit,Transient
3508,113,52,20,2,5,2,0,0,0,0,0,0,32.4,0,1,1,BB,PRT,Online TA,A,A,No Deposit,Transient
9739,196,53,30,1,2,2,0,0,0,0,0,0,114.0,0,0,1,HB,PRT,Groups,A,A,No Deposit,Transient-Party
44740,50,43,24,1,1,2,0,0,0,0,0,0,75.0,0,0,0,BB,PRT,Groups,A,A,Non Refund,Transient
94108,137,31,29,3,7,2,0,0,0,0,0,0,147.9,0,1,0,HB,ITA,Online TA,D,D,No Deposit,Transient
111845,13,21,24,0,1,2,0,0,0,0,0,0,150.0,0,1,0,BB,CHN,Online TA,A,A,No Deposit,Transient-Party
48566,105,15,6,0,1,2,0,0,0,0,0,0,75.0,0,0,0,BB,PRT,Offline TA/TO,A,A,Non Refund,Transient
114095,396,26,25,2,0,2,0,0,0,0,0,0,122.4,0,1,0,HB,DEU,Offline TA/TO,A,A,No Deposit,Transient-Party
77298,5,40,28,1,0,1,0,0,0,0,0,0,65.0,0,0,0,BB,PRT,Corporate,A,A,No Deposit,Transient
102719,83,52,18,2,0,2,0,0,0,0,0,0,75.0,0,0,0,BB,FRA,Offline TA/TO,A,D,No Deposit,Transient
67492,157,19,11,0,3,2,0,0,0,0,0,0,120.0,0,2,0,SC,LUX,Online TA,A,A,No Deposit,Transient
110736,16,19,7,2,1,2,0,0,0,0,0,0,150.0,0,2,0,SC,ISR,Online TA,A,A,No Deposit,Transient
87966,7,19,5,0,3,1,0,0,0,0,0,0,112.0,0,0,0,BB,DEU,Offline TA/TO,A,B,No Deposit,Transient-Party
34695,46,14,8,2,5,2,0,0,0,0,0,0,84.0,0,0,1,HB,DEU,Groups,A,A,No Deposit,Transient-Party
74914,327,37,9,0,2,2,0,0,1,0,0,0,62.0,0,0,0,BB,PRT,Groups,A,A,Non Refund,Transient-Party
28024,0,41,4,0,1,3,0,0,0,0,0,0,150.0,1,1,1,BB,PRT,Direct,E,E,No Deposit,Transient
37077,307,23,8,4,10,2,0,0,0,0,0,0,98.4,0,0,1,HB,GBR,Offline TA/TO,D,D,No Deposit,Contract
49880,122,18,29,2,2,2,0,0,0,0,0,0,95.2,0,0,0,BB,ITA,Online TA,A,A,No Deposit,Transient
103799,53,2,8,2,3,2,0,0,0,0,2,0,88.4,0,1,0,BB,FRA,Online TA,A,A,No Deposit,Transient
21351,13,11,9,0,3,2,0,0,0,0,1,0,86.55,0,0,1,HB,DEU,Groups,A,D,No Deposit,Transient-Party
105111,36,7,12,2,1,2,0,0,0,0,0,0,60.8,0,0,0,SC,GBR,Online TA,A,A,No Deposit,Transient
65,3,27,3,0,2,2,0,0,0,0,0,0,110.5,0,0,1,BB,ESP,Online TA,A,C,No Deposit,Transient
