,lead_time,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,previous_cancellations,previous_bookings_not_canceled,booking_changes,days_in_waiting_list,adr,required_car_parking_spaces,total_of_special_requests,hotel_Resort Hotel,meal,country,market_segment,reserved_room_type,assigned_room_type,deposit_type,customer_type
81310,178,18,28,0,3,1,0,0,1,0,0,46,110.0,0,0,0,BB,PRT,Offline TA/TO,A,A,Non Refund,Transient
98362,215,41,3,1,3,2,0,0,0,0,0,0,90.95,0,0,0,BB,LUX,Offline TA/TO,D,D,No Deposit,Transient
13006,18,30,28,0,2,2,0,0,0,0,0,0,245.0,0,1,1,BB,CHN,Online TA,E,E,No Deposit,Transient
18477,17,49,30,1,3,1,0,0,0,0,0,0,36.0,0,0,1,BB,PRT,Groups,A,D,No Deposit,Transient-Party
45079,233,45,7,1,1,2,0,0,0,0,0,0,60.0,0,0,0,BB,FRA,Groups,A,A,No Deposit,Transient-Party
96693,45,38,11,2,2,2,1,0,0,0,0,0,162.79,0,2,0,BB,GBR,Online TA,A,A,No Deposit,Transient
110915,0,18,6,2,5,2,0,0,0,0,0,0,164.57,0,2,0,BB,NOR,Online TA,E,G,No Deposit,Transient
117154,72,31,3,2,5,2,0,0,0,0,0,0,120.0,0,1,0,BB,FIN,Online TA,A,A,No Deposit,Transient
106635,69,10,6,1,3,2,0,0,0,0,0,0,81.0,0,0,0,BB,DEU,Offline TA/TO,A,A,No Deposit,Transient
77577,1,40,2,0,2,1,0,0,0,0,0,0,100.0,0,0,0,BB,PRT,Offline TA/TO,A,A,No Deposit,Transient-Party
15293,3,31,30,0,2,2,0,0,0,0,0,0,195.0,1,3,1,BB,CHN,Online TA,G,G,No Deposit,Transient
16971,24,41,10,0,1,2,0,0,0,0,0,0,73.0,1,2,1,BB,ESP,Online TA,A,F,No Deposit,Transient
100989,56,46,10,1,3,2,0,0,0,0,0,0,88.23,0,0,0,BB,FRA,Online TA,A,A,No Deposit,Transient
12796,268,29,17,4,10,2,0,0,0,0,0,0,183.59,0,1,1,HB,PRT,Online TA,D,D,No Deposit,Transient
101224,0,47,18,0,1,1,0,0,0,0,0,0,95.0,0,0,0,SC,PRT,Online TA,A,A,No Deposit,Transient
5988,87,21,19,2,5,1,0,0,0,0,0,0,49.0,0,0,1,BB,PRT,Online TA,A,A,No Deposit,Transient
31890,2,3,21,2,1,2,0,0,0,0,0,0,65.0,1,1,1,BB,NLD,Online TA,D,D,No Deposit,Transient
56929,418,40,26,1,2,2,0,0,0,0,0,223,75.0,0,0,0,BB,PRT,Offline TA/TO,A,A,No Deposit,Transient-Party
31133,196,53,30,1,2,2,0,0,0,0,1,0,114.0,0,0,1,Undefined,PRT,Groups,A,A,No Deposit,Transient-Party
114640,27,27,2,2,0,2,0,0,0,0,3,0,152.0,0,0,0,BB,BRA,Online TA,A,A,No Deposit,Transient
24611,116,24,10,1,2,2,0,0,0,0,5,0,88.67,0,2,1,BB,PRT,Online TA,A,C,No Deposit,Transient
56403,433,38,15,0,2,2,0,0,0,0,0,0,62.0,0,0,0,BB,PRT,Groups,A,A,Non Refund,Transient
25453,0,29,14,0,2,1,0,0,0,0,1,0,146.0,0,0,1,BB,NLD,Direct,A,A,No Deposit,Transient
106581,73,10,6,1,3,2,0,0,0,0,0,0,74.8,0,0,0,SC,FRA,Online TA,A,A,No Deposit,Transient
40403,16,32,8,2,2,3,0,0,0,0,1,0,84.0,0,1,0,BB,ESP,Groups,A,D,No Deposit,Transient-Party
102707,3,51,14,2,4,2,2,0,0,0,0,0,118.25,0,1,0,BB,FRA,Direct,E,E,No Deposit,Transient
64103,138,11,13,1,4,2,0,0,0,0,2,0,75.68,0,1,0,SC,FRA,Online TA,A,A,No Deposit,Transient
25728,19,30,21,0,3,2,0,0,0,0,0,0,194.33,1,1,1,BB,ESP,Online TA,A,A,No Deposit,Transient
96413,183,37,8,0,3,2,0,0,0,0,0,0,110.0,0,1,0,BB,PRT,Offline TA/TO,A,A,No Deposit,Transient-Party
73257,279,30,23,0,2,2,0,0,1,0,0,0,62.8,0,0,0,BB,PRT,Groups,A,A,No Deposit,Transient-Party
69862,226,24,16,1,2,2,0,0,0,0,0,0,105.0,0,0,0,BB,PRT,Offline TA/TO,A,A,Non Refund,Transient
94362,8,33,10,0,2,2,2,0,0,0,0,0,240.0,0,2,0,BB,ITA,Online TA,F,F,No Deposit,Transient
61823,21,2,9,1,5,2,0,0,0,0,0,0,67.58,0,1,0,SC,ITA,Online TA,A,A,No Deposit,Transient
115840,180,29,18,0,3,2,0,0,0,0,0,0,89.1,0,1,0,BB,AUT,Offline TA/TO,A,A,No Deposit,Transient
63589,131,9,2,0,1,2,0,0,0,0,0,0,79.2,0,2,0,SC,POL,Online TA,A,A,No Deposit,Transient
22672,20,16,10,2,4,2,0,0,0,0,0,0,113.0,1,2,1,HB,PRT,Online TA,D,D,No Deposit,Transient-Party
100629,26,46,7,1,1,1,0,0,0,0,0,0,153.23,0,1,0,BB,FRA,Online TA,A,A,No Deposit,Transient
35291,1,18,30,1,0,2,0,0,0,0,0,0,112.0,1,1,1,BB,PRT,Online TA,E,E,No Deposit,Transient
61542,240,53,31,2,2,2,0,0,0,0,1,0,70.55,0,1,0,SC,ITA,Online TA,A,A,No Deposit,Transient
57715,24,42,9,1,0,1,0,0,0,0,0,0,120.0,0,0,0,BB,PRT,Groups,A,A,No Deposit,Transient
115512,184,28,15,0,1,2,0,0,0,0,0,0,89.1,0,0,0,BB,BEL,Direct,A,A,No Deposit,Transient
16379,204,37,8,2,5,2,0,0,0,0,0,0,55.68,0,0,1,BB,IRL,Offline TA/TO,A,A,No Deposit,Contract
46321,151,4,19,0,4,1,0,0,0,0,2,63,70.75,0,0,0,BB,OTHER,Offline TA/TO,A,A,No Deposit,Transient-Party
115886,12,29,16,2,4,2,0,0,0,0,0,0,147.67,0,2,0,BB,POL,Online TA,A,A,No Deposit,Transient
92671,66,30,18,1,0,1,0,0,0,0,0,0,69.3,0,1,0,SC,ESP,Online TA,A,A,No Deposit,Transient
45550,135,49,5,2,1,2,0,0,0,0,0,0,62.0,0,0,0,BB,PRT,Groups,A,A,No Deposit,Transient-Party
12790,211,29,17,3,6,2,0,0,0,0,0,0,152.5,0,1,1,BB,GBR,Online TA,A,A,No Deposit,Transient
100220,241,44,29,2,2,0,2,0,0,0,0,0,81.76,0,1,0,BB,SWE,Online TA,B,B,No Deposit,Transient-Party
71465,155,29,17,1,1,2,1,0,0,0,0,0,125.1,0,1,0,BB,USA,Online TA,A,A,No Deposit,Transient
4720,168,14,30,1,4,2,0,0,0,0,2,0,88.0,0,0,1,BB,GBR,Groups,A,F,No Deposit,Transient-Party
40152,28,32,3,1,3,2,0,0,0,0,0,0,62.0,0,0,0,BB,ESP,Groups,A,A,No Deposit,Transient-Party
24796,128,22,1,4,10,2,0,0,0,1,1,0,156.83,1,0,1,HB,PRT,Direct,E,E,No Deposit,Transient
54562,391,32,4,0,2,2,0,0,0,0,0,0,62.0,0,0,0,BB,PRT,Groups,A,A,Non Refund,Transient
95532,3,35,26,1,2,2,0,0,0,0,0,0,195.0,0,2,0,BB,AUS,Direct,E,E,No Deposit,Transient
747,33,31,27,1,4,2,0,0,0,0,0,0,134.0,0,0,1,BB,PRT,Online TA,A,A,No Deposit,Transient
53776,74,29,11,1,3,3,0,0,0,0,0,0,139.95,0,0,0,BB,GBR,Online TA,D,D,No Deposit,Transient
112361,127,22,28,2,2,3,0,0,0,0,2,0,171.0,0,1,0,BB,GBR,Online TA,D,D,No Deposit,Transient
76493,5,36,1,0,2,2,0,0,0,0,0,0,105.0,0,0,0,BB,POL,Online TA,A,A,No Deposit,Transient
108880,71,15,10,1,2,3,0,0,0,0,0,0,189.0,0,3,0,HB,FRA,Online TA,E,E,No Deposit,Transient
17265,9,42,14,1,4,2,0,0,0,0,0,0,48.2,0,1,1,BB,PRT,Online TA,A,A,No Deposit,Transient
23855,47,21,16,1,0,2,0,0,0,0,0,0,58.0,0,0,1,BB,ROU,Online TA,A,A,No Deposit,Transient
3358,44,49,5,2,1,2,0,0,0,0,0,0,70.0,0,0,1,BB,PRT,Groups,A,A,No Deposit,Transient-Party
18563,22,49,5,1,1,2,1,0,0,0,1,0,58.0,0,2,1,BB,PRT,Direct,E,F,No Deposit,Transient
49685,42,18,25,1,3,2,2,0,0,0,0,0,175.28,0,0,0,BB,FRA,Online TA,F,F,No Deposit,Transient
68574,149,21,25,0,3,2,0,0,0,0,0,0,162.0,0,2,0,BB,DEU,Online TA,E,E,No Deposit,Transient
14094,4,21,22,1,2,2,0,0,0,0,0,0,110.0,0,0,1,BB,PRT,Online TA,E,E,No Deposit,Transient
13860,112,39,19,5,10,1,0,0,0,1,0,0,56.0,1,1,1,BB,PRT,Direct,A,A,No Deposit,Transient
115973,184,29,20,0,3,2,0,0,0,0,0,0,114.9,0,1,0,BB,DEU,Online TA,A,A,No Deposit,Transient
89250,48,22,22,2,2,1,0,0,0,0,0,0,81.0,0,0,0,BB,GBR,Offline TA/TO,A,A,No Deposit,Transient
104524,5,5,30,1,0,1,0,0,0,0,1,0,98.0,0,0,0,BB,PRT,Online TA,A,A,No Deposit,Transient
5616,44,19,6,2,3,2,0,0,0,0,0,0,95.0,0,0,1,BB,USA,Online TA,E,E,No Deposit,Transient
17051,13,44,27,0,1,1,0,0,0,2,0,0,39.0,0,0,1,BB,PRT,Offline TA/TO,A,A,No Deposit,Transient
82781,53,5,24,2,3,2,0,0,0,0,0,0,60.0,0,0,0,BB,FRA,Offline TA/TO,A,D,No Deposit,Transient
64134,259,11,14,0,4,2,0,0,0,0,0,0,85.0,0,1,0,BB,DEU,Online TA,A,A,No Deposit,Transient
75428,301,33,14,0,2,2,0,0,1,0,0,0,101.5,0,0,0,HB,PRT,Offline TA/TO,A,A,Non Refund,Transient-Party
108258,55,13,1,1,1,2,0,0,0,0,0,0,126.0,0,1,0,BB,FRA,Online TA,D,D,No Deposit,Transient
54562,391,32,4,0,2,2,0,0,0,0,0,0,62.0,0,0,0,BB,PRT,Groups,A,A,Non Refund,Transient
87468,99,18,28,0,2,2,0,0,0,0,0,0,114.3,0,1,0,BB,BRA,Online TA,A,A,No Deposit,Transient
36952,347,23,4,4,10,2,0,0,0,0,0,0,86.7,0,0,1,HB,GBR,Offline TA/TO,A,A,No Deposit,Contract
88448,84,20,13,1,2,3,0,0,0,0,0,0,114.34,0,2,0,SC,FRA,Online TA,A,C,No Deposit,Transient
6271,215,23,1,0,3,2,0,0,0,0,0,0,110.0,0,0,1,FB,PRT,Groups,A,A,Non Refund,Transient
32009,3,4,27,0,1,2,0,0,0,0,0,0,45.0,0,1,1,BB,PRT,Direct,A,E,No Deposit,Transient
85777,80,13,26,2,4,2,0,0,0,0,0,0,80.75,0,0,0,BB,DEU,Offline TA/TO,A,A,No Deposit,Transient
57697,205,41,8,1,1,2,0,0,0,0,0,0,98.1,0,0,0,SC,USA,Online TA,A,A,No Deposit,Transient
87465,53,18,25,1,4,3,0,0,0,0,0,0,104.58,0,1,0,BB,BRA,Online TA,D,D,No Deposit,Transient
98104,91,40,30,1,2,1,0,0,0,0,0,0,75.0,0,0,0,BB,FRA,Offline TA/TO,A,D,No Deposit,Transient-Party
10765,10,14,3,1,1,1,0,0,0,0,0,0,45.0,0,0,1,BB,PRT,Corporate,A,D,Non Refund,Transient
34473,9,14,7,0,2,2,0,0,0,0,0,0,92.0,1,1,1,BB,ESP,Online TA,A,A,No Deposit,Transient
15193,72,31,26,2,2,2,0,0,0,0,0,0,157.0,1,1,1,BB,PRT,Online TA,E,E,No Deposit,Transient
118435,26,35,27,2,0,2,0,0,0,0,1,0,143.5,0,2,0,BB,BRA,Online TA,A,A,No Deposit,Transient
32915,0,13,27,1,0,1,0,0,0,2,2,0,60.0,0,1,1,BB,PRT,Corporate,A,A,No Deposit,Transient
105668,48,8,22,0,2,1,0,0,0,0,0,0,65.0,0,1,0,BB,ESP,Groups,A,A,No Deposit,Transient-Party
113569,40,24,16,1,2,2,0,0,0,0,0,0,160.0,0,2,0,BB,CHE,Online TA,A,A,No Deposit,Transient
5160,32,17,19,2,5,2,0,0,0,0,0,0,69.36,0,0,1,HB,PRT,Groups,D,D,No Deposit,Transient-Party
52014,56,24,8,0,1,2,0,0,0,0,0,0,120.0,0,0,0,BB,PRT,Offline TA/TO,A,A,No Deposit,Transient-Party
15663,329,32,2,4,10,3,0,0,0,0,0,0,146.2,0,2,1,BB,GBR,Offline TA/TO,E,E,No Deposit,Contract
102618,2,51,16,0,1,1,0,0,0,0,0,0,67.0,1,0,0,BB,PRT,Corporate,A,A,No Deposit,Transient
80225,180,16,13,0,1,2,0,0,1,0,0,38,125.0,0,0,0,HB,PRT,Offline TA/TO,A,A,Non Refund,Transient
18632,20,50,6,2,0,2,0,0,0,0,0,0,79.2,0,2,1,HB,ESP,Online TA,A,D,No Deposit,Transient
46739,0,7,13,1,1,2,0,0,0,0,0,0,106.0,0,0,0,BB,PRT,Online TA,D,E,No Deposit,Transient-Party
76285,2,33,12,0,1,2,0,0,0,0,0,0,65.0,0,0,0,BB,PRT,Corporate,A,A,No Deposit,Transient
14403,222,38,15,1,5,2,0,0,25,0,0,0,49.95,0,0,1,FB,PRT,Groups,A,A,Non Refund,Transient
100336,7,45,3,0,1,1,0,0,0,0,0,0,79.0,0,0,0,BB,PRT,Corporate,A,A,No Deposit,Transient
57557,275,41,5,1,4,2,0,0,0,0,0,0,90.0,0,0,0,BB,PRT,Offline TA/TO,A,A,Non Refund,Transient
76348,239,42,17,0,1,2,0,0,1,0,0,0,60.0,0,0,0,BB,PRT,Groups,A,A,Non Refund,Transient
86220,2,15,8,0,1,1,0,0,0,0,0,0,89.0,0,0,0,SC,DEU,Online TA,A,A,No Deposit,Transient
24534,96,24,8,0,4,2,0,0,0,0,0,0,116.0,0,1,1,BB,FRA,Online TA,A,A,No Deposit,Transient
24125,141,22,25,0,1,2,0,0,0,0,0,0,59.0,0,1,1,BB,NOR,Offline TA/TO,D,E,No Deposit,Transient-Party
28028,0,41,4,0,1,2,0,0,0,0,0,0,130.0,1,1,1,BB,GBR,Direct,A,F,No Deposit,Transient
82428,0,2,7,0,2,1,0,0,0,1,1,0,0.0,0,0,0,BB,PRT,Complementary,A,A,No Deposit,Transient
67236,109,18,6,2,2,2,0,0,0,0,0,0,121.0,0,1,0,HB,PRT,Offline TA/TO,A,A,No Deposit,Transient
105517,1,8,20,1,1,1,0,0,0,0,1,0,118.0,0,1,0,BB,NLD,Online TA,D,D,No Deposit,Transient
20577,3,8,20,1,0,1,0,0,0,1,0,0,35.0,0,0,1,BB,PRT,Corporate,A,D,No Deposit,Transient
92524,80,29,10,2,5,2,0,0,0,0,0,0,142.07,0,1,0,HB,FRA,Online TA,A,D,No Deposit,Transient
82595,36,4,19,0,2,1,0,0,0,0,2,0,71.0,0,0,0,BB,DEU,Offline TA/TO,A,A,No Deposit,Transient-Party
94888,320,34,18,0,2,2,0,0,0,0,0,0,115.0,0,1,0,HB,DEU,Offline TA/TO,A,A,No Deposit,Transient-Party
46187,12,3,15,2,2,2,1,0,0,0,0,0,75.0,0,0,0,SC,OTHER,Online TA,A,A,No Deposit,Transient-Party
19291,112,53,30,0,3,2,0,0,0,0,1,0,224.67,0,0,1,Undefined,PRT,Groups,A,A,No Deposit,Transient-Party
87094,5,38,12,1,1,1,0,0,2,1,0,0,110.0,0,0,0,BB,ESP,Aviation,D,D,No Deposit,Transient
112027,289,21,24,0,3,2,0,0,0,0,0,0,123.3,0,1,0,BB,ITA,Online TA,D,D,No Deposit,Transient
2377,143,41,10,2,5,2,0,0,0,0,0,0,36.05,0,0,1,BB,PRT,Groups,A,A,Non Refund,Transient
57820,183,42,11,0,1,1,0,0,0,0,0,0,98.1,0,0,0,SC,FRA,Online TA,A,A,No Deposit,Transient
44454,102,42,16,0,2,2,0,0,0,0,0,0,109.0,0,0,0,HB,DEU,Offline TA/TO,A,B,No Deposit,Transient-Party
50119,302,19,5,0,2,2,0,0,0,0,0,0,62.0,0,0,0,BB,PRT,Groups,A,A,Non Refund,Transient
31465,23,1,5,2,5,1,0,0,0,0,0,0,47.0,0,0,1,Undefined,FRA,Offline TA/TO,A,A,No Deposit,Transient
66420,242,17,26,0,4,2,0,0,0,0,0,0,126.9,0,2,0,BB,IRL,Online TA,D,D,No Deposit,Transient
112058,127,21,21,2,5,2,0,0,0,0,1,0,170.3,0,1,0,HB,GBR,Direct,D,D,No Deposit,Transient
33899,5,12,22,0,1,1,0,0,0,0,0,0,60.0,0,0,1,BB,PRT,Direct,A,C,No Deposit,Transient
6103,224,22,25,1,4,1,0,0,0,0,5,0,40.0,0,0,1,BB,GBR,Groups,A,A,No Deposit,Transient-Party
30856,54,52,19,1,4,1,0,0,0,0,0,0,43.0,0,1,1,BB,CHN,Online TA,A,A,No Deposit,Transient
104273,37,4,23,1,1,2,0,0,0,0,0,0,87.75,0,1,0,BB,CHN,Online TA,A,A,No Deposit,Transient
48720,98,15,8,0,2,2,0,0,0,0,0,0,85.6,0,1,0,BB,ITA,Online TA,A,A,No Deposit,Transient
19512,13,2,7,1,3,2,0,0,0,0,0,0,33.3,0,0,1,BB,OTHER,Offline TA/TO,D,D,No Deposit,Transient
74856,313,35,26,0,2,1,0,0,1,0,0,0,60.0,0,0,0,BB,PRT,Groups,A,A,Non Refund,Transient-Party
29292,181,44,29,2,5,2,0,0,0,0,1,0,74.49,0,0,1,HB,GBR,Online TA,E,E,No Deposit,Transient
18130,287,35,25,2,3,2,0,0,1,0,0,0,128.0,0,0,1,BB,PRT,Groups,D,D,Non Refund,Transient
43516,68,40,29,0,2,2,0,0,0,0,0,0,65.0,0,0,0,BB,FRA,Offline TA/TO,A,A,No Deposit,Transient-Party
74699,294,32,7,0,2,2,0,0,1,0,0,0,62.0,0,0,0,BB,PRT,Groups,A,A,Non Refund,Transient-Party
79957,221,24,10,1,2,2,0,0,1,0,0,15,80.0,0,0,0,BB,PRT,Offline TA/TO,A,A,Non Refund,Transient
20461,18,7,12,0,2,2,0,0,0,0,0,0,29.0,0,0,1,BB,PRT,Offline TA/TO,A,D,No Deposit,Transient
98338,5,21,23,0,3,1,0,0,0,2,0,0,65.0,0,1,0,BB,PRT,Corporate,A,A,No Deposit,Transient
17270,285,42,13,1,5,2,0,0,0,0,1,0,43.08,1,0,1,BB,GBR,Groups,A,G,No Deposit,Transient-Party
4832,171,15,4,1,1,1,0,0,0,0,2,0,54.5,0,0,1,HB,PRT,Groups,A,A,Non Refund,Transient-Party
100184,117,44,28,2,2,3,0,0,0,0,0,0,123.3,0,2,0,BB,FRA,Online TA,D,D,No Deposit,Transient
112454,194,22,28,2,4,2,2,0,0,0,1,0,227.25,0,0,0,BB,FRA,Direct,G,G,No Deposit,Transient
9691,288,53,26,3,6,2,2,0,0,0,0,0,148.11,0,0,1,HB,GBR,Online TA,G,G,No Deposit,Transient
1309,62,35,23,2,5,2,0,0,0,0,0,0,101.65,0,0,1,BB,IRL,Offline TA/TO,A,A,No Deposit,Transient
112918,93,23,5,1,3,2,0,0,0,0,0,0,135.43,0,0,0,HB,NLD,Online TA,A,A,No Deposit,Transient
64083,52,11,13,1,1,1,0,0,0,0,0,0,80.0,0,0,0,BB,PRT,Offline TA/TO,A,A,Non Refund,Transient
103945,151,3,16,1,0,2,0,0,0,0,3,0,67.15,0,0,0,BB,AUS,Direct,A,A,No Deposit,Transient
25985,65,31,29,1,2,2,0,0,0,0,0,0,192.67,0,1,1,BB,FIN,Online TA,D,D,No Deposit,Transient
11044,210,16,16,2,5,2,0,0,0,0,2,0,84.21,0,2,1,BB,DNK,Online TA,E,E,No Deposit,Transient
2377,143,41,10,2,5,2,0,0,0,0,0,0,36.05,0,0,1,BB,PRT,Groups,A,A,Non Refund,Transient
43408,87,39,25,2,3,2,0,0,0,0,0,0,170.0,0,0,0,BB,PRT,Groups,A,A,Non Refund,Transient
97787,62,40,27,0,2,1,0,0,0,0,0,0,115.04,0,1,0,BB,NLD,Online TA,D,D,No Deposit,Transient
55329,148,35,22,1,4,2,0,0,0,0,1,0,96.3,0,0,0,BB,AUT,Online TA,A,A,No Deposit,Transient
106362,14,10,10,0,1,2,0,0,0,1,0,0,158.0,0,1,0,BB,BRA,Online TA,E,E,No Deposit,Group
80548,0,49,29,0,1,2,0,0,0,2,0,0,0.0,0,3,0,HB,PRT,Complementary,G,G,No Deposit,Transient
72147,60,31,2,2,6,2,0,0,0,0,0,0,160.0,0,1,0,BB,IRL,Online TA,A,A,No Deposit,Transient
20688,39,7,12,2,5,2,0,0,0,0,0,0,58.7,0,0,1,HB,GBR,Offline TA/TO,D,D,No Deposit,Transient
90210,70,24,10,0,2,2,0,0,0,0,0,0,85.0,0,1,0,BB,PRT,Direct,A,A,No Deposit,Transient
46773,2,8,14,2,1,1,0,0,0,0,0,0,79.0,0,0,0,SC,AGO,Direct,A,A,No Deposit,Transient-Party
81479,305,40,1,1,1,2,0,0,1,0,0,17,100.0,0,0,0,HB,PRT,Groups,A,A,Non Refund,Transient
21806,6,13,21,1,0,2,0,0,0,0,0,0,26.1,0,0,1,BB,ESP,Offline TA/TO,A,A,No Deposit,Transient
23352,140,18,28,2,5,2,0,0,0,0,0,0,143.0,0,0,1,HB,GBR,Direct,G,G,No Deposit,Transient
82378,177,20,8,2,0,2,0,0,1,0,0,0,121.0,0,0,0,HB,PRT,Offline TA/TO,A,A,Non Refund,Transient
41366,50,35,25,0,4,2,0,0,0,0,0,0,62.0,0,0,0,BB,PRT,Groups,A,A,No Deposit,Transient-Party
17865,234,28,5,2,8,2,2,0,1,0,0,0,123.3,0,0,1,HB,PRT,Offline TA/TO,C,C,No Deposit,Transient
57838,97,42,11,0,2,2,0,0,0,0,0,0,97.2,0,1,0,SC,CHN,Online TA,A,A,No Deposit,Transient
111730,1,21,22,1,1,2,0,0,0,0,0,0,120.0,0,1,0,BB,PRT,Groups,A,A,No Deposit,Transient-Party
47227,12,10,1,0,5,2,0,0,0,0,1,0,130.22,0,2,0,HB,DEU,Online TA,A,A,No Deposit,Transient
10544,94,11,14,2,7,1,0,0,0,0,0,0,55.0,0,0,1,BB,ITA,Online TA,A,A,No Deposit,Transient
81551,64,53,31,0,3,2,0,0,1,0,0,0,101.33,0,0,0,BB,PRT,Online TA,A,A,No Deposit,Transient
104448,55,4,22,2,5,2,0,0,0,0,0,0,88.4,0,0,0,BB,DEU,Online TA,A,A,No Deposit,Transient
109675,85,17,23,2,1,2,0,0,0,0,0,0,108.0,0,0,0,BB,CHE,Direct,A,A,No Deposit,Transient
8463,132,40,30,2,2,1,0,0,0,0,0,0,67.5,0,0,1,BB,GBR,Online TA,A,A,No Deposit,Transient
63908,241,10,9,0,3,1,0,0,0,0,0,0,84.6,0,0,0,BB,DEU,Online TA,A,A,No Deposit,Transient
106491,39,10,5,2,1,2,0,0,0,0,0,0,75.0,0,0,0,BB,FRA,Offline TA/TO,A,D,No Deposit,Transient
77602,224,40,2,1,2,2,0,0,0,0,0,0,65.0,0,0,0,BB,FRA,Offline TA/TO,A,A,No Deposit,Transient-Party
33859,0,12,20,0,0,1,0,0,0,0,0,0,0.0,0,0,1,BB,PRT,Direct,A,D,No Deposit,Transient
59333,304,45,3,0,3,2,0,0,0,0,0,0,89.0,0,0,0,BB,PRT,Offline TA/TO,A,A,Non Refund,Transient
111729,5,21,22,1,1,1,0,0,0,0,1,0,110.0,0,0,0,BB,ESP,Groups,A,A,No Deposit,Transient-Party
117969,94,33,18,2,4,1,0,0,0,0,3,0,115.0,0,3,0,BB,USA,Offline TA/TO,A,A,No Deposit,Transient-Party
116217,291,30,25,0,1,2,0,0,0,0,0,0,98.1,0,1,0,BB,GBR,Direct,A,A,No Deposit,Transient
13168,42,31,4,0,2,2,0,0,0,0,1,0,212.5,0,0,1,BB,PRT,Direct,A,A,No Deposit,Transient
29307,142,44,29,2,5,2,2,0,0,0,0,0,95.71,0,1,1,BB,GBR,Online TA,G,G,No Deposit,Transient
61287,90,53,26,1,4,2,0,1,0,0,1,0,88.74,0,0,0,SC,FRA,Online TA,A,A,No Deposit,Transient
51597,57,23,31,0,1,1,0,0,0,0,0,0,120.0,0,0,0,BB,PRT,Groups,A,A,No Deposit,Transient-Party
40360,0,32,8,1,1,2,0,0,0,0,1,0,100.0,0,0,0,BB,BRA,Direct,D,D,No Deposit,Transient
85793,76,14,27,2,3,2,0,0,0,0,0,0,58.9,0,1,0,SC,NLD,Online TA,A,A,No Deposit,Transient
77947,0,41,7,0,3,2,2,0,0,0,0,0,196.0,0,2,0,BB,PRT,Online TA,F,F,No Deposit,Contract
108936,142,15,10,1,3,2,0,0,0,0,0,0,119.25,0,1,0,BB,IRL,Online TA,A,A,No Deposit,Transient
113269,29,24,11,2,1,2,0,0,0,0,2,0,120.0,0,1,0,SC,IRL,Online TA,A,A,No Deposit,Transient
44435,180,42,16,0,1,2,0,0,0,0,0,0,70.0,0,0,0,BB,PRT,Offline TA/TO,A,A,Non Refund,Transient
81216,113,9,25,0,3,2,0,0,1,0,0,44,75.0,0,0,0,BB,PRT,Offline TA/TO,A,A,Non Refund,Transient
32689,1,7,17,0,2,2,0,0,0,0,0,0,68.0,0,1,1,BB,USA,Online TA,D,D,No Deposit,Transient
32887,18,8,20,1,0,1,0,0,0,0,0,0,37.0,1,0,1,BB,PRT,Offline TA/TO,A,A,No Deposit,Transient
10887,124,15,9,2,5,2,0,0,0,0,1,0,80.0,0,0,1,HB,PRT,Groups,A,C,Non Refund,Transient
22236,169,14,31,0,3,1,0,0,0,0,2,0,60.0,0,0,1,BB,IRL,Groups,A,A,Refundable,Transient-Party
12554,345,27,5,0,3,2,0,0,0,0,0,0,107.1,0,2,1,BB,SWE,Online TA,D,D,No Deposit,Transient
